species,LDMC,SLA,growthform,life_history,clonal_strategy,lat_spread,leaf_distr
Achillea.nobilis,304.3,14.4,forb,perennial,phalanx,sev_stems,leafystem
Adonis.wolgensis,282.9,16.5,forb,perennial,phalanx,sev_stems,leafystem
Agropyron.cristatum,424,12.4,grass,perennial,phalanx,tussock,leafystem
Allium.delicatulum,,,forb,perennial,none,sev_stems,(semi)rosette
Allium.flavescens,135.7,13.8,forb,perennial,none,sev_stems,(semi)rosette
Allium.lineare,,,forb,perennial,none,sev_stems,(semi)rosette
Allium.pallasii,,,forb,perennial,none,sev_stems,leafystem
Allium.sp,,,forb,perennial,none,sev_stems,(semi)rosette
Alopecurus.pratensis,443.5,12.1,grass,perennial,phalanx,tussock,leafystem
Alyssum.turkestanicum,277.1,14,forb,ann/biennial,none,sgl_shoot,leafystem
Anabasis.salsa,260.4,3.7,forb_woody,perennial,none,sev_stems,leafystem
Androsace.maxima,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Arabidopsis.thaliana,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Arabidopsis.toxophylla,,,forb,ann/biennial,none,sev_stems,leafystem
Arenaria.koriniana,346.2,11.7,forb,perennial,phalanx,sev_stems,leafystem
Arenaria.leptoclados,,,forb,ann/biennial,none,sgl_shoot,leafystem
Arenaria.longifolia,357.5,10.9,forb,perennial,phalanx,sev_stems,leafystem
Artemisia.austriaca,444.6,14.9,forb,perennial,guerilla,sgl_shoot,leafystem
Artemisia.dracunculus,247,12.6,forb,perennial,phalanx,sev_stems,leafystem
Artemisia.gracilescens,317.4,15.9,forb_woody,perennial,none,sev_stems,leafystem
Artemisia.lercheana,,,forb_woody,perennial,none,sev_stems,leafystem
Artemisia.marschalliana,251.4,17.4,forb,perennial,none,sev_stems,leafystem
Artemisia.nitrosa,363.9,10.9,forb_woody,perennial,none,sev_stems,leafystem
Artemisia.pauciflora,353,13.7,forb_woody,perennial,none,sev_stems,leafystem
Artemisia.pontica,388.8,15.3,forb,perennial,guerilla,sgl_shoot,leafystem
Artemisia.schrenkiana,328.7,17.3,forb_woody,perennial,none,sev_stems,leafystem
Artemisia.tomentella,,,forb,perennial,none,sev_stems,leafystem
Astragalus.cornutus,409,7.4,forb,perennial,none,sev_stems,leafystem
Astragalus.longipetalus,,,forb,perennial,none,sgl_shoot,(semi)rosette
Atraphaxis.frutescens,338,9.3,dwarfshrub,perennial,none,sev_stems,leafystem
Atraphaxis.replicata,,,dwarfshrub,perennial,none,sev_stems,leafystem
Atriplex.cana,252.6,7.3,dwarfshrub,perennial,none,sev_stems,leafystem
Atriplex.sagittata,,,forb,ann/biennial,none,sgl_shoot,leafystem
Bassia.sedoides,322.6,7.2,forb,ann/biennial,none,sgl_shoot,leafystem
Boraginaceae.sp,,,forb,ann/biennial,none,sgl_shoot,leafystem
Bromopsis.inermis,361.8,16.4,grass,perennial,guerilla,sgl_shoot,leafystem
Camphorosma.monspeliaca,353.5,10.4,forb_woody,perennial,none,sev_stems,leafystem
Capsella.bursa.pastoris,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Carex.praecox,,,grass,perennial,guerilla,sgl_shoot,(semi)rosette
Carex.stenophylla,454.5,11.4,grass,perennial,guerilla,sgl_shoot,(semi)rosette
Carex.supina,479,13.8,grass,perennial,guerilla,sgl_shoot,(semi)rosette
Catabrosella.humilis,,,grass,perennial,phalanx,sgl_shoot,(semi)rosette
Centaurea.scabiosa,253,11.3,forb,perennial,none,sev_stems,(semi)rosette
Ceratocarpus.arenarius,394.8,12.9,forb,ann/biennial,none,sgl_shoot,leafystem
Ceratocephala.testiculata,222.7,21.8,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Chaerophyllum.prescottii,,,forb,ann/biennial,none,sgl_shoot,leafystem
Chenopodium.acuminatum,,,forb,ann/biennial,none,sgl_shoot,leafystem
Chenopodium.album,,,forb,ann/biennial,none,sgl_shoot,leafystem
Climacoptera.brachiata,,,forb,ann/biennial,none,sgl_shoot,leafystem
Descurainia.sophia,259.6,18.6,forb,ann/biennial,none,sgl_shoot,leafystem
Dianthus.borbasii,354.4,9.7,forb,perennial,none,sev_stems,leafystem
Dianthus.leptopetalus,,,forb,perennial,none,sev_stems,leafystem
Drabopsis.nuda,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Echinops.ritro,302.1,8.9,forb,perennial,none,sgl_shoot,(semi)rosette
Elytrigia.repens,369.9,15.3,grass,perennial,guerilla,sgl_shoot,leafystem
Ephedra.distachya,406.6,3.1,forb_woody,perennial,guerilla,sev_stems,leafystem
Eremopyrum.orientale,232.5,27.5,grass,ann/biennial,none,sev_stems,leafystem
Eremopyrum.triticeum,294.6,25.2,grass,ann/biennial,none,sev_stems,leafystem
Erucastrum.armoracioides,143,13.9,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Eryngium.planum,209.9,16.1,forb,perennial,none,sgl_shoot,(semi)rosette
Erysimum.hieracifolium,260.4,12.9,forb,ann/biennial,none,sev_stems,leafystem
Euclidium.syriacum,,,forb,ann/biennial,none,sgl_shoot,leafystem
Falcaria.vulgaris,,,forb,perennial,none,sgl_shoot,(semi)rosette
Ferula.caspica,172.1,12,forb,perennial,none,sgl_shoot,(semi)rosette
Ferula.sp,,,forb,perennial,none,sgl_shoot,(semi)rosette
Ferula.tatarica,232.3,11.5,forb,perennial,none,sgl_shoot,(semi)rosette
Festuca.valesiaca,489.6,5.9,grass,perennial,phalanx,tussock,(semi)rosette
Filaginella.rossica,,,forb,ann/biennial,none,sgl_shoot,leafystem
Filago.arvensis,447.3,22,forb,ann/biennial,none,sgl_shoot,leafystem
Filago.filaginoides,,,forb,ann/biennial,none,sgl_shoot,leafystem
Fumaria.vaillentii,,,forb,ann/biennial,none,sgl_shoot,leafystem
Gagea.bulbifera,,,forb,perennial,none,sgl_shoot,(semi)rosette
Gagea.pusilla,,,forb,perennial,none,sgl_shoot,(semi)rosette
Galatella.biflora,264,13,forb,perennial,phalanx,sev_stems,leafystem
Galatella.tatarica,292.6,13.7,forb,perennial,phalanx,sev_stems,leafystem
Galatella.villosa,330.4,15.1,forb,perennial,phalanx,sev_stems,leafystem
Galium.ruthenicum,341.9,11,forb,perennial,phalanx,sev_stems,leafystem
Geranium.transversale,,,forb,perennial,none,sgl_shoot,(semi)rosette
Glycyrrhiza.uralensis,319.1,14.1,forb,perennial,none,sev_stems,leafystem
Gypsophila.paniculata,175.7,14.1,forb,perennial,none,sev_stems,leafystem
Halimione.verrucifera,194.2,10.1,forb,perennial,none,sev_stems,leafystem
Helichrysum.arenarium,333.1,18.3,forb,perennial,phalanx,sev_stems,leafystem
Hierochloe.odorata,381.1,13.1,grass,perennial,guerilla,sgl_shoot,leafystem
Hylotelephium.triphyllum,433.7,9.8,forb,perennial,none,sgl_shoot,leafystem
Inula.britannica,,,forb,perennial,phalanx,sgl_shoot,leafystem
Iris.pumila,,,forb,perennial,phalanx,sev_stems,(semi)rosette
Ixiolirion.tataricum,,,forb,perennial,none,sgl_shoot,(semi)rosette
Jurinea.multiflora,283.5,13.6,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Jurinea.xerophytica,244,10,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Kochia.prostrata,318.5,12.5,forb_woody,perennial,none,sev_stems,leafystem
Koeleria.cristata,397.9,10.7,grass,perennial,phalanx,tussock,(semi)rosette
Koeleria.glauca,,,grass,perennial,phalanx,tussock,(semi)rosette
Lappula.patula,,,forb,ann/biennial,none,sgl_shoot,leafystem
Lappula.stricta,308.2,18.5,forb,ann/biennial,none,sgl_shoot,leafystem
Lepidium.perfoliatum,232,22.9,forb,ann/biennial,none,sgl_shoot,leafystem
Lepidium.ruderale,,,forb,ann/biennial,none,sgl_shoot,leafystem
Lepidium.songaricum,,,forb,perennial,none,sgl_shoot,leafystem
Leymus.angustus,352.1,7,grass,perennial,guerilla,sgl_shoot,leafystem
Leymus.ramosus,394.4,13,grass,perennial,guerilla,sgl_shoot,leafystem
Limonium.gmelinii,268.2,9.4,forb,perennial,phalanx,sgl_shoot,(semi)rosette
Limonium.sareptanum,264.3,11,forb,perennial,phalanx,sgl_shoot,(semi)rosette
Limonium.suffruticosum,299.5,7.2,forb_woody,perennial,none,sev_stems,leafystem
Linaria.genistifolia,,,forb,perennial,guerilla,sev_stems,leafystem
Linaria.incompleta,286.4,11.1,forb,perennial,none,sev_stems,leafystem
Linaria.sp,,,forb,,,,
Medicago.falcata,328.1,15.8,forb,perennial,phalanx,sev_stems,leafystem
Megacarpaea.megalocarpa,,,forb,perennial,none,sgl_shoot,(semi)rosette
Myosotis.micrantha,,,forb,ann/biennial,none,sev_stems,(semi)rosette
Myosurus.minimus,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Nepeta.ucranica,263.2,15.3,forb,perennial,phalanx,sev_stems,leafystem
Onosma.tinctoria,276.6,11,forb,ann/biennial,none,sev_stems,leafystem
Ornithogalum.fischerianum,,,forb,perennial,none,sgl_shoot,(semi)rosette
Palimbia.salsa,210.2,13.2,forb,perennial,none,sgl_shoot,(semi)rosette
Pastinaca.clausii,,,forb,perennial,none,sgl_shoot,(semi)rosette
Petrosimonia.brachyphylla,,,forb,ann/biennial,none,sev_stems,leafystem
Petrosimonia.litwinowii,160.3,4.8,forb,ann/biennial,none,sev_stems,leafystem
Petrosimonia.sibirica,,,forb,ann/biennial,none,sev_stems,leafystem
Petrosimonia.triandra,,,forb,ann/biennial,none,sev_stems,leafystem
Phlomoides.agraria,285,15.2,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Phlomoides.tuberosa,321.6,13.3,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Phragmites.australis,,,grass,perennial,guerilla,sgl_shoot,leafystem
Plantago.tenuiflora,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Poa.bulbosa,212.5,19.2,grass,perennial,phalanx,sev_stems,(semi)rosette
Poa.versicolor,410.2,12.4,grass,perennial,phalanx,tussock,(semi)rosette
Polygonum.patulum,280,17.1,forb,ann/biennial,none,sgl_shoot,leafystem
Potentilla.arenaria,463.3,12,forb,perennial,phalanx,sev_stems,(semi)rosette
Potentilla.argentea,384.4,14.8,forb,perennial,none,sev_stems,(semi)rosette
Potentilla.bifurca,413.2,11.2,forb,perennial,phalanx,sev_stems,(semi)rosette
Potentilla.humifusa,443.2,9.9,forb,perennial,phalanx,sev_stems,(semi)rosette
Psammophiliella.muralis,,,forb,ann/biennial,none,sgl_shoot,leafystem
Psathyrostachys.juncea,367.3,11.2,grass,perennial,phalanx,tussock,(semi)rosette
Pseudosedum.lievenii,,,forb,perennial,phalanx,sev_stems,leafystem
Puccinellia.dolicholepis,,,grass,perennial,phalanx,tussock,leafystem
Ranunculus.pedatus,,,forb,perennial,none,sgl_shoot,(semi)rosette
Ranunculus.polyrhizus,,,forb,perennial,none,sgl_shoot,(semi)rosette
Rindera.tetraspis,,,forb,perennial,phalanx,sev_stems,(semi)rosette
Rorippa.brachycarpa,169.4,25.6,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Rumex.sp,,,forb,ann/biennial,,,
Salsola.foliosa,,,forb,ann/biennial,none,sev_stems,leafystem
Salsola.orientalis,,,dwarfshrub,perennial,none,sev_stems,leafystem
Salsola.sp,,,,,,,
Salsola.tamariscina,,,forb,ann/biennial,none,sgl_shoot,leafystem
Scorzonera.austriaca,218.6,12.5,forb,perennial,phalanx,sev_stems,(semi)rosette
Scorzonera.ensifolia,,,forb,perennial,none,sgl_shoot,(semi)rosette
Scorzonera.stricta,209.5,15.6,forb,perennial,none,sgl_shoot,(semi)rosette
Senecio.dubitabilis,115.9,27.1,forb,ann/biennial,none,sgl_shoot,leafystem
Senecio.jacobaea,,,forb,perennial,phalanx,sev_stems,(semi)rosette
Serratula.cardunculus,209.5,21.8,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Serratula.dissecta,235.4,11.2,forb,perennial,guerilla,sgl_shoot,(semi)rosette
Silene.chlorantha,,,forb,perennial,none,sgl_shoot,(semi)rosette
Silene.viscosa,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Silene.wolgensis,295.9,11.2,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Sisymbrium.polymorphum,331.3,13.2,forb,perennial,none,sgl_shoot,leafystem
Spergularia.segetalis,,,forb,ann/biennial,none,sgl_shoot,leafystem
Spiraea.crenata,466,12.3,dwarfshrub,perennial,phalanx,sev_stems,leafystem
Spiraea.hypericifolia,553.3,12.4,dwarfshrub,perennial,phalanx,sev_stems,leafystem
Stellaria.graminea,,,forb,perennial,guerilla,sgl_shoot,leafystem
Stipa.capillata,563,6.2,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.lessingiana,522.7,8.4,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.pennata,574,9.1,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.sareptana,552.7,6.6,grass,perennial,phalanx,tussock,(semi)rosette
Stipa.zalesskii,564.5,5.2,grass,perennial,phalanx,tussock,(semi)rosette
Syrenia.siliculosa,272.3,7.1,forb,ann/biennial,none,sgl_shoot,leafystem
Takhtajaniantha.pusilla,,,forb,perennial,none,sgl_shoot,leafystem
Tanacetum.achilleifolium,311.9,11.7,forb,perennial,phalanx,tussock,(semi)rosette
Taraxacum.glaucanthum,,,forb,perennial,none,sgl_shoot,(semi)rosette
Taraxacum.sp,,,forb,perennial,none,sgl_shoot,(semi)rosette
Tauscheria.lasiocarpa,,,forb,ann/biennial,none,sgl_shoot,leafystem
Thymus.marschallianus,282.1,21.9,forb,perennial,phalanx,sev_stems,leafystem
Tulipa.biflora,,,forb,perennial,none,sgl_shoot,(semi)rosette
Tulipa.gesneriana,145,14,forb,perennial,none,sgl_shoot,leafystem
Tulipa.patens,,,forb,perennial,none,sgl_shoot,(semi)rosette
Valeriana.tuberosa,,,forb,perennial,none,sgl_shoot,(semi)rosette
Verbascum.phoenicium,220.6,12.9,forb,perennial,none,sgl_shoot,(semi)rosette
Veronica.hispidula,,,forb,ann/biennial,none,sgl_shoot,(semi)rosette
Veronica.prostrata,,,forb,perennial,phalanx,sev_stems,leafystem
Veronica.sp,,,forb,,,,
Veronica.spicata,318.6,10.9,forb,perennial,phalanx,sev_stems,leafystem
